,glottocode,name,region,AES,EGIDS,L1_pop,L1_pop_prop,documentation,area
1031,chim1309,Chimila,South America,shifting,6b,480,11.78704179,detailed,1213.481601
1032,chac1249,Cha'palaa,South America,shifting,6b,9500,597.6045589,detailed,1187.213245
1033,edec1238,Ede Cabe,Western Africa,not endangered,6a,80000,1220.942865,little or none,5014.108111
1034,bual1235,Bualkhaw Chin,South-Eastern Asia,not endangered,5,2500,58.71791273,little or none,40.49620032
1035,nyah1250,Nyahkur,South-Eastern Asia,shifting,7,1500,23.80578968,detailed,242.9019734
1036,izor1238,Izora,Western Africa,shifting,8a,1500,7.809211489,little or none,19.30098862
1037,cash1251,Cashibo-Cacataibo,South America,shifting,5,1150,160.7534154,detailed,10478.36732
1038,cash1254,Cashinahua,South America,shifting,5,1150,517.372479,detailed,26865.45413
1039,chay1248,Shawi,South America,threatened,5,7870,544.9630443,basic,7219.269852
1040,cand1248,Candoshi-Shapra,South America,shifting,5,1120,685.8419694,basic,11959.52025
1041,cacu1241,Kakua,South America,shifting,5,400,346.2203438,detailed,300.3979839
1042,cham1318,Chamicuro,South America,nearly extinct,8b,2,1.358162954,basic,631.5893152
1043,chop1243,Chopi,Africa,not endangered,5,760000,11693.33803,detailed,8189.295754
1044,samb1311,Samba Daka,Western Africa,not endangered,5,107000,2548.087934,basic,9960.434162
1045,atsa1241,Atsam,Western Africa,not endangered,5,30000,98.79359742,basic,449.6897629
1046,kasa1248,Kasanga,Western Africa,nearly extinct,8b,0,0.0,little or none,43.52414578
1047,cutc1238,Cutchi-Swahili,Africa,not endangered,6a,45000,2059.63742,basic,4765.023554
1048,coma1246,Comaltepec Chinantec,Central America,threatened,5,2000,68.58475557,detailed,316.6341044
1049,chak1266,Chakma,Southern Asia,not endangered,5,326000,1404.278298,basic,7439.345507
1050,caca1247,Cacaopera,Central America,extinct,10,0,0.0,basic,12695.50478
1051,chon1285,Choni,Asia,not endangered,7,154000,2823.603922,basic,13713.98086
1052,chen1255,Chenchu,Southern Asia,not endangered,6a,26000,88.21924026,detailed,4747.858402
1053,chir1283,Chiru,Southern Asia,shifting,5,7000,26.9793721,basic,594.2632396
1054,cham1307,Chambeali,Southern Asia,not endangered,6a,130000,827.9599979,basic,758.259515
1055,chod1238,Chodri,Southern Asia,not endangered,5,209000,548.9867603,basic,1254.436224
1056,chur1258,Churahi,Southern Asia,not endangered,6a,111000,927.9523359,basic,1430.805232
1057,chep1245,Chepang,Southern Asia,threatened,6b,48500,45.27799831,basic,1680.604021
1058,chau1259,Chaudangsi,Southern Asia,shifting,6b,1830,18.44879819,basic,748.4720817
1059,cind1241,Yara,Western Africa,not endangered,6a,45000,667.4828776,little or none,2602.198602
1060,chad1240,Chadong,Asia,threatened,6a,20000,85.910868,detailed,7371.935486
1061,koda1236,Koda,Southern Asia,threatened,6a,44300,56.85385424,little or none,505.6036672
